economy,year,crisis_label,is_anomaly_combined,GDP_Growth,GDP_PerCapita_Growth,Inflation_CPI,Total_Reserves,Unemployment,Current_Account_GDP,Trade_GDP,FDI_Inflows_GDP,Exports_GDP,Imports_GDP,Gross_Savings_GDP,Exchange_Rate,Manufacturing_Value,Investment_GDP
PHL,2021,0,0,0.00037665760933428227,0.015457380553656783,0.00014370863026065217,0.2094136070748773,0.05036006847157246,0.00031646175241725966,0.005156013291570771,0.014026276203100957,0.012602889458962076,0.08328120697916291,0.09359683899019432,0.014842469667864684,0.009076714842802322,0.1828453314763726
PHL,2022,0,0,0.0011279055409565413,0.018972714842944792,1.4560751942039572e-05,0.10864705730622942,0.02636225086991598,0.00328331724345497,0.0021776302590228707,0.00750250906398235,0.025393754656751182,0.08425081452903538,0.009278357736094438,0.008509056047571552,0.0027713886587813715,0.1521697963147286
PHL,2023,0,0,0.006380926423708536,0.018056340732563455,6.851595621999457e-05,0.03216870333643947,0.00706726901195409,0.06411951048752837,0.0003984004751050034,0.0022804482285818887,0.03840477184723434,0.07573432539101171,0.08657985834190318,0.00391990899696258,7.753173322061188e-05,0.19083862174954064
PHL,2024,0,0,0.007641720028028189,0.014021715068312872,0.00020312611680418623,0.01281431896431178,0.0021834423723713545,0.14569950954778477,8.68245480661684e-05,0.0008794518686517695,0.04028338429320562,0.06642386710056376,0.27150192264081036,0.002641818871434569,0.0015567754459539498,0.2414945823127052
POL,1990,1,1,0.348176373594653,0.13792072010422593,0.0021715826563366,0.6408644349453849,0.10922090409715697,0.0019764783850890993,0.02175294992401342,0.030458373042440173,0.035573275906838925,0.00965282422292558,0.34941708890594225,0.0415163318071868,0.05355805510835029,0.4528079769161594
POL,1991,1,1,0.014051552937124057,0.0031524581305564445,0.0006463320719400784,0.30971638267946683,0.07517271933483034,0.03764283866870787,0.009916637634129722,0.020296262383171032,0.003664726964802876,0.021363745217599945,0.45628575719359704,0.018964182966303804,0.023259328578156907,0.10291440591375244
POL,1992,0,0,0.005827638009688499,0.0003783355650831376,0.0002214365201300043,0.031872021115709734,0.007669771410075201,0.05251215928830288,0.0006620166244421739,0.0018688531161352138,0.0005440453835715888,0.007031433533448725,0.1971612378725318,0.0011952961246475434,0.005489686823564785,0.001994823898711819
POL,1993,0,0,0.002571895881114071,1.5753165406262932e-05,0.0002904725204617967,0.025142646471356514,0.007149104681019472,0.12878144096590607,0.00034036521322668324,0.0015979810293433063,0.0032226505936428515,0.011536108423138573,0.36120835867466133,0.0005371200557063225,0.0068598446099860854,0.02888561027976058
POL,1994,0,0,0.008738858151595754,0.002851010761201196,8.259677033816838e-05,0.019903388385624235,0.0037026189845948314,0.0014963362282306367,0.0006009355461381314,0.0009950234586601095,0.0003563169737866056,0.0009572379054143027,0.027070181559353867,0.001141151131825051,0.0020396992187539523,0.0065482364045157514
POL,1995,0,0,0.010419255516220817,0.011917808758845306,3.2715117147070305e-05,1.805837115618241e-05,0.00021601108645484367,0.0013525350815749933,1.700156943606691e-05,7.178381842983761e-05,0.00013712111867377822,2.2052626200088414e-05,0.0032618301360733794,3.2978319980371526e-05,0.00026009493812605004,0.0024698624118062997
POL,1996,0,0,0.013279597758198685,0.007620582357049391,7.823211942500029e-05,0.011675988720126627,0.0016892185506505444,0.0005006177821620158,0.0003708005731938122,0.00045218655844269805,0.000839539748184912,5.5397698889513745e-05,0.01549798559123557,0.0006322598903623396,0.001540873587065553,0.003574191777509439
POL,1997,0,0,0.016465411628270022,0.009921123197162039,7.583510775245421e-05,0.013178040928893062,0.0017759612735078181,9.432972948981644e-05,0.00048092109698858083,0.0004936794490174386,0.0019967646964679456,2.9855213618342218e-05,0.008020874640294703,0.0008010092904449585,0.0014748677094889148,0.008151700297951581
POL,1998,0,0,0.022906075898892292,0.007780807982287069,0.00014967971834222698,0.05172793391331904,0.009312238439098692,0.0006227625193551023,0.001986234298277401,0.0026191976855751554,0.006094978579410887,1.8548656403201653e-05,0.02408591925071161,0.003485098353459854,0.003916800208566222,0.04023210802745134
POL,1999,0,0,0.013987751347561729,0.0006487943698634787,0.00023831065198565225,0.094791209027276,0.020909515300442647,0.004311184783227653,0.0033834907638743772,0.005705567760189833,0.0052582676251885525,0.0016202716898471733,0.10975729347264006,0.005936797930378958,0.007426565629397553,0.04028228560288518
