economy,year,anomaly_score,anomaly_score_negated,predicted_anomaly,crisis_label
IND,1992,0.05495925473478669,-0.05495925473478669,0,0
IND,1993,0.0675448981021533,-0.0675448981021533,0,0
IND,1994,0.06318612407461949,-0.06318612407461949,0,0
IND,1995,0.05157547607519114,-0.05157547607519114,0,0
IND,1996,0.06144963164947187,-0.06144963164947187,0,0
IND,1997,0.07819608147395202,-0.07819608147395202,0,0
IND,1998,0.07070086900470607,-0.07070086900470607,0,1
IND,1999,0.03817852692942714,-0.03817852692942714,0,0
IND,2000,0.0845732005067627,-0.0845732005067627,0,0
IND,2001,0.07053312664134637,-0.07053312664134637,0,0
IND,2002,0.07670188936206196,-0.07670188936206196,0,0
IND,2003,0.05904014109218808,-0.05904014109218808,0,0
IND,2004,0.05390696865344913,-0.05390696865344913,0,0
IND,2005,0.043678499430888085,-0.043678499430888085,0,0
IND,2006,0.034221872360618244,-0.034221872360618244,0,0
IND,2007,0.022878611237629853,-0.022878611237629853,0,0
IND,2008,0.04331581048757854,-0.04331581048757854,0,0
IND,2009,0.02673095575329376,-0.02673095575329376,0,0
IND,2010,0.01836765309296373,-0.01836765309296373,0,0
IND,2011,0.03298165091599031,-0.03298165091599031,0,0
IND,2012,0.02929274094913603,-0.02929274094913603,0,1
IND,2013,0.052099687445781584,-0.052099687445781584,0,0
IND,2014,0.05455214744591519,-0.05455214744591519,0,0
IND,2015,0.0535916775406855,-0.0535916775406855,0,0
IND,2016,0.05537728434959788,-0.05537728434959788,0,0
IND,2017,0.060284922303303345,-0.060284922303303345,0,0
IND,2018,0.05678509731476905,-0.05678509731476905,0,0
IND,2019,0.07087196364904724,-0.07087196364904724,0,0
IND,2020,-0.013023215788199871,0.013023215788199871,1,1
IND,2021,0.023169538844816095,-0.023169538844816095,0,0
IND,2022,0.03964736332728375,-0.03964736332728375,0,0
IND,2023,0.019071016596482526,-0.019071016596482526,0,0
IND,2024,0.033731845612509304,-0.033731845612509304,0,0
IRL,1990,0.013685030869529213,-0.013685030869529213,0,1
IRL,1991,0.03737497822733238,-0.03737497822733238,0,1
IRL,1992,0.03420789601358759,-0.03420789601358759,0,0
IRL,1993,0.025402294696200256,-0.025402294696200256,0,0
IRL,1994,0.01705690560048323,-0.01705690560048323,0,0
IRL,1995,-0.0022061335016070327,0.0022061335016070327,1,0
IRL,1996,0.025694863858183647,-0.025694863858183647,0,0
IRL,1997,-0.009868410124079519,0.009868410124079519,1,0
IRL,1998,0.00570837386719153,-0.00570837386719153,0,0
IRL,1999,-0.03560510345134699,0.03560510345134699,1,0
IRL,2000,-0.05509879014820307,0.05509879014820307,1,0
IRL,2001,-0.004322939577601159,0.004322939577601159,1,0
IRL,2002,-0.01658868245962536,0.01658868245962536,1,0
IRL,2003,0.03758517908850745,-0.03758517908850745,0,0
IRL,2004,0.02666448629442325,-0.02666448629442325,0,0
IRL,2005,0.015068136516262987,-0.015068136516262987,0,0
IRL,2006,0.036235495269005324,-0.036235495269005324,0,0
IRL,2007,-0.003202546399363404,0.003202546399363404,1,0
IRL,2008,-0.038476259215553144,0.038476259215553144,1,1
IRL,2009,-0.09892613686040641,0.09892613686040641,1,1
IRL,2010,-0.06155717775616709,0.06155717775616709,1,0
IRL,2011,-0.05385483988493789,0.05385483988493789,1,0
IRL,2012,-0.07696085160861887,0.07696085160861887,1,0
IRL,2013,-0.07502254765252325,0.07502254765252325,1,0
IRL,2014,-0.12407022760386976,0.12407022760386976,1,0
IRL,2015,-0.181568152217796,0.181568152217796,1,0
IRL,2016,-0.13124613338525715,0.13124613338525715,1,0
IRL,2017,-0.14234408075512184,0.14234408075512184,1,0
IRL,2018,-0.10386221630723835,0.10386221630723835,1,0
IRL,2019,-0.14693325785597566,0.14693325785597566,1,1
IRL,2020,-0.15178051728287412,0.15178051728287412,1,0
IRL,2021,-0.14859774786241609,0.14859774786241609,1,0
IRL,2022,-0.10633242547223953,0.10633242547223953,1,1
IRL,2023,-0.1329038255302979,0.1329038255302979,1,1
IRL,2024,-0.09828263631485223,0.09828263631485223,1,0
ITA,1990,0.08019055251783813,-0.08019055251783813,0,0
ITA,1991,0.07376090628321808,-0.07376090628321808,0,0
ITA,1992,0.07665845770447927,-0.07665845770447927,0,0
ITA,1993,0.05497893328158526,-0.05497893328158526,0,0
ITA,1994,0.07141866429879917,-0.07141866429879917,0,0
ITA,1995,0.07343004491280325,-0.07343004491280325,0,0
ITA,1996,0.0701086198486095,-0.0701086198486095,0,0
ITA,1997,0.06781087427479354,-0.06781087427479354,0,0
ITA,1998,0.06963890771312486,-0.06963890771312486,0,0
ITA,1999,0.09212913970276987,-0.09212913970276987,0,0
ITA,2000,0.09993508741486257,-0.09993508741486257,0,0
ITA,2001,0.10310312155747353,-0.10310312155747353,0,0
ITA,2002,0.09824087843611568,-0.09824087843611568,0,0
ITA,2003,0.09830106497689106,-0.09830106497689106,0,0
ITA,2004,0.10470908398695206,-0.10470908398695206,0,0
ITA,2005,0.10360652228024986,-0.10360652228024986,0,0
ITA,2006,0.10369862802461255,-0.10369862802461255,0,0
ITA,2007,0.10214957990855322,-0.10214957990855322,0,0
ITA,2008,0.08277679585866482,-0.08277679585866482,0,0
ITA,2009,0.0364723927854102,-0.0364723927854102,0,1
ITA,2010,0.09378975026737485,-0.09378975026737485,0,0
ITA,2011,0.09213440169766107,-0.09213440169766107,0,0
ITA,2012,0.05767211345905254,-0.05767211345905254,0,1
ITA,2013,0.05755589686579854,-0.05755589686579854,0,0
ITA,2014,0.06759483178304754,-0.06759483178304754,0,1
ITA,2015,0.0804491531063361,-0.0804491531063361,0,0
ITA,2016,0.08398354984178547,-0.08398354984178547,0,0
ITA,2017,0.08677417114622465,-0.08677417114622465,0,0
ITA,2018,0.08613484461938897,-0.08613484461938897,0,0
ITA,2019,0.08523487847691336,-0.08523487847691336,0,0
ITA,2020,-0.013885250218772738,0.013885250218772738,1,1
ITA,2021,0.059487963519180675,-0.059487963519180675,0,0
ITA,2022,0.0773526273777847,-0.0773526273777847,0,1
ITA,2023,0.08821981818979241,-0.08821981818979241,0,0
ITA,2024,0.08740546951233935,-0.08740546951233935,0,0
JPN,1990,0.017143661921639575,-0.017143661921639575,0,0
JPN,1991,0.017278067384558615,-0.017278067384558615,0,1
JPN,1992,0.013097807564411312,-0.013097807564411312,0,0
JPN,1993,0.005882317817091642,-0.005882317817091642,0,0
JPN,1994,0.018296370082129643,-0.018296370082129643,0,0
JPN,1995,0.021717696421157118,-0.021717696421157118,0,0
JPN,1996,0.022507125795416194,-0.022507125795416194,0,0
JPN,1997,0.021244587156728834,-0.021244587156728834,0,0
JPN,1998,0.008548199123439182,-0.008548199123439182,0,0
JPN,1999,0.016106805869414764,-0.016106805869414764,0,0
JPN,2000,0.029940987609663183,-0.029940987609663183,0,0
JPN,2001,0.02510509807347533,-0.02510509807347533,0,0
JPN,2002,0.026697846112815005,-0.026697846112815005,0,1
JPN,2003,0.01814677798869807,-0.01814677798869807,0,1
JPN,2004,0.021730357221702468,-0.021730357221702468,0,0
JPN,2005,0.025237225553798814,-0.025237225553798814,0,0
JPN,2006,0.029312129646508145,-0.029312129646508145,0,0
JPN,2007,0.030140280630405858,-0.030140280630405858,0,0
JPN,2008,0.018635476793164685,-0.018635476793164685,0,0
JPN,2009,-0.03398494419148246,0.03398494419148246,1,1
JPN,2010,0.02372331942327044,-0.02372331942327044,0,0
JPN,2011,0.01575927481247902,-0.01575927481247902,0,0
JPN,2012,0.025575567922573816,-0.025575567922573816,0,0
JPN,2013,0.029493824147526604,-0.029493824147526604,0,0
JPN,2014,0.02931465346267148,-0.02931465346267148,0,0
JPN,2015,0.029623734913642064,-0.029623734913642064,0,0
JPN,2016,0.02140182589523193,-0.02140182589523193,0,0
JPN,2017,0.02082660064333447,-0.02082660064333447,0,0
JPN,2018,0.022188672037250223,-0.022188672037250223,0,0
JPN,2019,0.006292784516590044,-0.006292784516590044,0,0
JPN,2020,-0.029108740430282942,0.029108740430282942,1,1
JPN,2021,0.016176219004237047,-0.016176219004237047,0,0
JPN,2022,0.03537503196002717,-0.03537503196002717,0,0
JPN,2023,0.02558910583890006,-0.02558910583890006,0,1
JPN,2024,0.0267632407309088,-0.0267632407309088,0,0
KEN,1990,0.0763641787726197,-0.0763641787726197,0,0
KEN,1991,0.0744553440661922,-0.0744553440661922,0,0
KEN,1992,0.03371900153858881,-0.03371900153858881,0,0
KEN,1993,0.011638203210291798,-0.011638203210291798,0,1
KEN,1994,0.0427328992631647,-0.0427328992631647,0,0
KEN,1995,0.047979120706764244,-0.047979120706764244,0,1
KEN,1996,0.05888196740078022,-0.05888196740078022,0,0
KEN,1997,0.0173830954342184,-0.0173830954342184,0,0
KEN,1998,0.04051360874055593,-0.04051360874055593,0,1
KEN,1999,0.031351462275639674,-0.031351462275639674,0,1
KEN,2000,0.054551430697399816,-0.054551430697399816,0,0
KEN,2001,0.062231686241378426,-0.062231686241378426,0,0
KEN,2002,0.032107942466121586,-0.032107942466121586,0,0
KEN,2003,0.05445760833082752,-0.05445760833082752,0,0
KEN,2004,0.05465097804033009,-0.05465097804033009,0,0
KEN,2005,0.05954334670400635,-0.05954334670400635,0,0
KEN,2006,0.07227035376622049,-0.07227035376622049,0,0
KEN,2007,0.07885737757719574,-0.07885737757719574,0,0
KEN,2008,0.04454802428992183,-0.04454802428992183,0,0
KEN,2009,0.05328357286008578,-0.05328357286008578,0,0
KEN,2010,0.033429669701518505,-0.033429669701518505,0,0
KEN,2011,0.04022916325298714,-0.04022916325298714,0,0
KEN,2012,0.04521635582746503,-0.04521635582746503,0,0
KEN,2013,0.0458081090064249,-0.0458081090064249,0,0
KEN,2014,0.040667741608366836,-0.040667741608366836,0,0
KEN,2015,0.046791223610890054,-0.046791223610890054,0,0
KEN,2016,0.05974701963180146,-0.05974701963180146,0,0
KEN,2017,0.05170390035382433,-0.05170390035382433,0,0
KEN,2018,0.05456699979632024,-0.05456699979632024,0,0
KEN,2019,0.051274031232585726,-0.051274031232585726,0,1
KEN,2020,0.03691067976586809,-0.03691067976586809,0,1
KEN,2021,0.03812647855238821,-0.03812647855238821,0,1
KEN,2022,0.06656339045765458,-0.06656339045765458,0,1
KEN,2023,0.05845541769910917,-0.05845541769910917,0,1
KEN,2024,0.0610010595218769,-0.0610010595218769,0,1
KOR,1990,-0.008288044022362662,0.008288044022362662,1,1
KOR,1991,-0.0313469789110668,0.0313469789110668,1,1
KOR,1992,0.02657912584331673,-0.02657912584331673,0,0
KOR,1993,0.030751331979329777,-0.030751331979329777,0,0
KOR,1994,-0.0005875186716837177,0.0005875186716837177,1,0
KOR,1995,-0.0052307290356750635,0.0052307290356750635,1,0
KOR,1996,0.014066568520929967,-0.014066568520929967,0,1
KOR,1997,0.036876864736099024,-0.036876864736099024,0,0
KOR,1998,-0.026370684217570273,0.026370684217570273,1,1
KOR,1999,-0.00893165407258123,0.00893165407258123,1,1
KOR,2000,0.03241247045238005,-0.03241247045238005,0,0
KOR,2001,0.06416556920109523,-0.06416556920109523,0,0
KOR,2002,0.05307041441857829,-0.05307041441857829,0,0
KOR,2003,0.06350495692038743,-0.06350495692038743,0,0
