economy,year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
DEU,2004,-0.6082016876336611,-0.3413268985950567,-0.6754192783091924,0.6647091122687071,0.5151048299207083,0.31604645724567054,-0.669458518362524,-0.7858714013966863,0.2905806592330849
DEU,2005,-0.5509185458455791,-0.31676161595436575,-0.934401160553144,0.5826232795197143,0.498205393570725,0.5334506150865789,-0.5562618071209592,-0.5773441858980403,0.20720811582345425
DEU,2006,0.02426457114297225,-0.23664315676854578,-0.6646132575209147,0.19776915234127856,0.2667021678917461,0.5037979506947492,-0.32408033759534594,-0.6565168579838154,0.6773434271060265
DEU,2007,0.2682764479181381,-0.1973216611064219,-0.5217238694263622,0.41504561472703744,0.2122809437163052,0.16471671571330715,-0.4935749106987624,-0.6471852291540877,0.45937579434835923
DEU,2008,0.0840085971573843,-0.20369974111380323,-0.6180881604156636,0.5950280250854001,0.35096585344451975,-0.1501559273077747,-0.6689534962042528,-0.41999895913052904,0.07713129493808517
DEU,2009,-0.7817085337924639,-0.2807077859570979,-1.3046507520483097,1.6421325862169116,0.47097240880340824,-0.1928663979014821,-0.9447001309042503,0.1559610901195646,-0.8925765894017026
DEU,2010,0.1206634730220855,-0.13454185010296504,-0.4704305471841703,0.16507388022193278,-0.14048748765045646,0.015469420814418234,-0.3395629301471739,-0.29174178694648983,0.60304142978916
DEU,2011,0.5116161843833956,-0.10316628629386126,-0.32178717502423343,0.15792448912903587,-0.09634703926164645,-0.17588367514751393,-0.3729081711972109,-0.3097409083242331,0.3973840842732994
DEU,2012,0.26531311900160043,-0.042354122910702195,-0.6633132413961165,0.7338723408039635,-0.10630073249317923,-0.2820555959308477,-0.7742346161982046,-0.01882889244515692,-0.07384929137339989
DEU,2013,0.20564814132526943,-0.12835755189324163,-0.6484987449221966,0.6568590178573983,-0.06226574433428385,-0.3974453090135862,-0.7126486425174473,-0.10399002798036634,-0.13984979485430196
DEU,2014,0.3880646553380125,-0.060786919005654534,-0.3917676695367096,0.5047753828436246,-0.22132738442871605,-0.4418530371972987,-0.7289379422649913,-0.23667117245681565,0.23531175876922786
DEU,2015,0.4383543632142979,0.05999061206850149,-0.5515148972083059,0.6067800562581257,-0.3055857076440919,-0.354643570196411,-0.7882621879108632,0.07493430083008759,0.22980518596216992
DEU,2016,0.6129171452366001,-0.016772696076670653,-0.4043543713625898,0.6144252898324772,-0.38922087879346173,-0.4788499746291501,-0.6424106969096921,-0.10235444141737463,0.23610660748331244
DEU,2017,0.7040439955620801,-0.025800306862492104,-0.3456687041378901,0.4009699384412971,-0.3362630523784649,-0.5046090908759925,-0.4601865739753594,-0.028357142018552814,0.23751895835207074
DEU,2018,0.8285672988310033,-0.025050177746544087,-0.454279036066563,0.5904547866056359,-0.19841780973641296,-0.5941852507802606,-0.4645826652546084,0.1322130585988237,-0.094500197175594
DEU,2019,0.6676104850697947,0.022960555117832935,-0.3891622684896701,0.6940929523643499,-0.18940506142477875,-0.698161461408946,-0.6566317924048716,0.14589751993361627,-0.010146757068514341
DEU,2020,0.2088234388005984,-0.09760588306601181,-0.7695222704526371,1.229756102344559,0.2799263397225906,-0.6045007619399339,-0.6611782398753024,0.5080429822720842,-1.071689607143375
