economy,year,GDP_Growth,Inflation_CPI,Unemployment,Current_Account_GDP,Reserves_Months_Imports,FDI_Inflows_GDP,Exports_GDP,Imports_GDP,Gross_Savings_GDP,Investment_GDP,Manufacturing_Value,Domestic_Credit_GDP,Broad_Money_Growth,Exchange_Depreciation,crisis_label
DEU,2006,0.15730201737515306,-0.33337377990374767,1.0039307340911507,1.0410903464339316,-0.7098748473366165,0.313945860176422,0.40867054127620284,0.20655295766485907,0.17503709687003025,-0.4906911062359624,0.5611601724412826,0.3798621986983255,-0.06057024606083981,-0.2213026600384745,0
DEU,2007,-0.0965074947123235,-0.20730989243864212,0.6756613194518222,1.2105470981212973,-0.7041678887771285,-0.18238616205156796,0.47818565374180927,0.22854442839986855,0.3422989810301372,-0.3531915874606123,0.586725258404962,0.3179944955970925,-0.4382154019824519,-1.0026273398901613,0
DEU,2008,-0.6160917914808031,-0.1495978898938785,0.41559545309678125,1.0208459923998001,-0.7193800294346399,-0.4098150804145063,0.4911963480496879,0.2726558538127734,0.25384132625481853,-0.3378260849200718,0.4835009236470674,0.3167603096782277,-0.19931390121559628,-0.8389151392446553,1
DEU,2009,-2.2861789286247363,-0.5545244598926015,0.49463507914586236,1.0641212930381614,-0.5484478056732617,-0.12237134212355302,0.26212652263023833,0.05722528621671629,0.010715946624464314,-0.7831167318178083,0.15971801374984637,0.3353810642457572,-0.8803806499323563,0.44466105726524363,1
DEU,2010,0.22687245168930864,-0.4161930678023283,0.31679592053542993,1.051748891690032,-0.5131217175177859,0.1771359375219473,0.4305961345273116,0.2354142917877314,0.14365890612526747,-0.547411263297158,0.43923451433815197,0.20649612297633893,-0.18986730154171125,0.41983163800050427,1
DEU,2011,0.12907623371411078,-0.24633491561923132,0.08817592690959315,1.1379830810090594,-0.5454343402967979,0.20152909976016822,0.5201619494679693,0.3508069953780605,0.3511427868091284,-0.27903929657204457,0.53226333204171,0.1615161388775722,0.06230444244240262,-0.623390323256711,1
DEU,2012,-0.7262781149539395,-0.25799567019260516,-0.0382449803463295,1.2969212994746302,-0.48041989090076015,-0.055683145828875104,0.5636029519319508,0.34391522243750067,0.2705924901170313,-0.5564689673876175,0.522146284712439,0.14799883882840284,-0.1958345544726589,0.7475524847238607,1
DEU,2013,-0.743548074945632,-0.34608707605878536,-0.05014341867629871,1.2176941924497613,-0.591142375852447,-0.07484979724122658,0.5216901707597238,0.3083127367939883,0.2579872023617383,-0.5076297040986106,0.48370831901845246,0.12875353288456817,-0.15317672244912126,-0.4668072000621336,0
DEU,2014,-0.2805704782222993,-0.45064451020548213,-0.12174652076914899,1.3267637044895515,-0.6086052762860008,-0.5417470035764212,0.5222481625491672,0.272193765906722,0.35194483222020195,-0.4533490163164705,0.5305686250921395,0.09179923420519281,-0.22626114350735693,-0.12839479063990417,0
DEU,2015,-0.4148482017968866,-0.5192562622741076,-0.19972378625305426,1.4813307676560468,-0.593937151342552,-0.054712949910269405,0.5594260216320036,0.2729872546510546,0.37300539604394073,-0.5525528911746463,0.5342789556791774,0.07633486907998306,1.2651596144439354,1.9401934647740646,0
DEU,2016,-0.26965644959023555,-0.5232220680896551,-0.3076596196749177,1.6192943004385734,-0.5725200187158085,-0.11758354761700225,0.5198247998358049,0.23447939551928312,0.4651789929625566,-0.5193984911013861,0.5710865595047343,0.06876167696402724,0.04426972863405717,-0.1007052896291668,0
DEU,2017,-0.12018892921281091,-0.3452526950133465,-0.3762881121852757,1.4782519338328326,-0.5721833907247393,0.3205059309434871,0.5434813970719725,0.2768680661078593,0.46534310335296614,-0.36808980086908,0.5282186566818906,0.0696610628114971,0.17869210035605126,-0.33639489708534737,0
DEU,2018,-0.5517560164937629,-0.30631461918424896,-0.46063954106023597,1.5397081135868185,-0.6150099220291093,0.7115307905964703,0.5557360357770277,0.34306250434211655,0.586226841586708,-0.2197697582253868,0.4897826672483094,0.07681184989610569,-0.01875435072712734,-0.579751332780268,0
DEU,2019,-0.5927682180859967,-0.3564152728993016,-0.5075958780410073,1.4433138391327232,-0.5568461350687833,-0.025415132873093157,0.5492051386173292,0.348095839445778,0.5197934935189621,-0.26137303699643866,0.4234126258623297,0.09401771349354972,-0.1958345544726589,0.4493616971148374,0
DEU,2020,-1.9194089535709726,-0.5838776357935602,-0.3550409008817594,1.1818410848880436,-0.423492899094816,0.8819166777606964,0.4149391983986966,0.20770628005805877,0.4084460252136871,-0.20760805431346854,0.3187716008433612,0.16866982402061592,-0.24112178516035682,-0.3335654702713568,1
DEU,2021,0.16854873787777713,-0.07295647371428272,-0.41602039732285145,1.279835279797893,-0.47920416744677347,0.3348836419221629,0.556692718280738,0.3801577792665227,0.5419957204260353,-0.06166304806685463,0.3248099219251134,0.15454653819282585,0.062304442442402456,-0.48412991905554825,0
DEU,2022,-0.376876123897491,0.5925669323040688,-0.5131201529799215,0.7992670896565734,-0.5383053350269541,-0.0546093271814151,0.6862945438607067,0.6570467594933878,0.31954616764518684,0.03155356989707692,0.2912425646799219,0.1337920630431177,0.13474668939430387,1.1635121787328466,0
DEU,2023,-1.0724122247008676,0.43061704608203266,-0.5271433124402423,1.0372149151668204,-0.5178985888251946,0.004980642222427329,0.5753466645287245,0.45689061177955864,0.3738080420751141,-0.16660031118544055,0.37400539296620455,0.08491931537608939,0.18355316711074326,-0.3985138905871021,0
DEU,2024,-0.9753620036355625,-0.21462730624443194,-0.4572399872516733,1.1040923563045244,-0.43431354652154486,-0.22551653904569566,0.5114246221692801,0.3925158266568492,0.32815786346400977,-0.24310352325498535,0.24908162482727209,0.08491931537608939,-0.22626114350735693,-0.13612987675892935,0
EGY,1990,0.6247339809666308,2.320906382655234,0.8133432486986089,1.0219755696275739,-0.29810330037155885,-0.0950173001092567,-0.36740387572399363,0.14779134965968146,0.7362543280972047,0.9032410967074577,0.11101493944485638,-0.5758951893865278,1.7311321700107059,10.59657350212744,1
EGY,1991,-0.5544280312448242,2.8441348451647386,0.8133432486986089,1.6378901647263258,0.2324357627059532,-0.4577061071668992,-0.07090155411131652,0.282922475466233,1.0265202221084146,0.1022544126010946,-0.017070232441574306,-0.6201861689376378,0.847874626297569,10.59657350212744,0
EGY,1992,0.3146863649280248,1.7755083495722586,0.7156060767024331,1.4326606859629891,1.1284633756989206,-0.310000527151182,-0.032121057769088183,0.06820922424820684,1.0755331404152646,-0.5549360788245868,-0.07005124664987242,-0.6174801790883674,0.8562767932659715,0.4873972901747219,0
EGY,1993,-0.0934766820830627,1.5048803366672274,1.1405503027727615,1.0278951329453725,1.4329060082389786,-0.3234342576018853,-0.13881912280131234,0.02863998889852422,0.7309665037468245,-0.49882078953764936,-0.054972623498209715,-0.5983775353903057,0.27512721102855336,-0.028439961152633295,0
EGY,1994,0.18495042467921557,0.8166849952437372,1.1426750239031132,0.10503114779103531,1.4596555666541426,0.1555345439049635,-0.27499299351618844,-0.06913124492512021,0.04208429661485559,-0.37773750744819057,-0.017155159646623615,-0.5455168899680881,0.08380050100296446,-0.023565052449990267,0
EGY,1995,0.3587202539276724,2.1435671627447808,1.166046956336981,0.02250002116603993,1.7109151180011053,-0.34608528578684794,-0.27592726423903347,-0.08649504953653453,-0.10853362847291438,-0.4521786938939411,0.02581232279445891,-0.4838122817374112,-0.0401711411042252,-0.1035069428289735,0
EGY,1996,0.44862432642443645,0.6475673774728772,0.7326038457452463,0.046185696341556344,1.7959234957232912,-0.3649433493360466,-0.3509407728543301,-0.15850105606360493,-0.42097641754117227,-0.763354114030968,0.05241744683993699,-0.4352605968503589,0.04817733897574436,-0.12761640106006078,0
EGY,1997,0.5793824925649875,0.19964878911011164,0.5987464145330926,-0.06031696905247482,1.6528629954675247,-0.29636753535459404,-0.43049346588261705,-0.22112471925949553,-0.5117926496939698,-0.8516716221906492,0.022774267015488847,-0.39490215845246895,0.042163849333179335,-0.1338141280818749,0
EGY,1998,0.6009692030623214,0.06796947813386674,0.5265058961011368,-0.4232020279279978,1.5702564641593082,-0.24956443123216396,-0.5400318468378785,-0.18184845746483672,-0.402405844129558,-0.24253171960229916,0.11157372830736466,-0.3072488147154775,0.042581967815246896,-0.12769589009139445,0
EGY,1999,0.72505921650868,-0.0707125143413603,0.5095081270583239,-0.21381924880917322,1.034774530657184,-0.28264366954767584,-0.5884910881963924,-0.2974485790097299,-0.40815209803938357,-0.2246208240083711,0.24196295366818607,-0.2376666809113125,-0.4382682197768729,-0.10298488543998532,0
