economy,year,anomaly_score,predicted_anomaly
FRA,2002,1.0226076088509966,0
FRA,2003,1.13468827869708,0
FRA,2004,1.0231792738124548,0
FRA,2005,1.018723870839315,0
FRA,2006,0.9975294908267462,0
FRA,2007,1.008355221235059,0
FRA,2008,1.041367353134767,0
FRA,2009,1.1502004229377276,0
FRA,2010,1.1642462805427793,0
FRA,2011,0.9895769819333902,0
FRA,2012,1.1148937654652389,0
FRA,2013,0.9785163736859956,0
FRA,2014,1.0315132913155332,0
FRA,2015,1.2270263293701893,0
FRA,2016,0.9920662767978415,0
FRA,2017,0.9977849582356895,0
FRA,2018,0.9841810969052196,0
FRA,2019,1.060734645123541,0
FRA,2020,1.382767728354943,0
FRA,2021,1.2023915798927776,0
FRA,2022,1.2731669556336684,0
FRA,2023,1.1891840212244829,0
FRA,2024,1.0085060615627999,0
GBR,1990,1.2042270274733209,0
GBR,1991,1.2219458307946334,0
GBR,1992,1.9684418510410029,1
GBR,1993,1.144147934621023,0
GBR,1994,1.0755734658396072,0
GBR,1995,1.3684936687089944,0
GBR,1996,1.1665232658165443,0
GBR,1997,1.308028058330557,0
GBR,1998,1.1972478188863445,0
GBR,1999,1.2260645738668843,0
GBR,2000,1.3056855406596486,0
GBR,2001,1.1508141882081053,0
GBR,2002,1.138297013972669,0
GBR,2003,1.2499855189884155,0
GBR,2004,1.1836404511880967,0
GBR,2005,1.329658786173472,0
GBR,2006,1.2187806759646551,0
GBR,2007,1.2055211911651638,0
GBR,2008,1.4422391731393622,0
GBR,2009,1.4607947595999091,0
GBR,2010,1.1534049989187838,0
GBR,2011,1.1948227186902252,0
GBR,2012,1.1111638125509287,0
GBR,2013,1.0988704054839389,0
GBR,2014,1.095845874104308,0
GBR,2015,1.075728658301889,0
GBR,2016,1.4526292671604395,0
GBR,2017,1.3684930971316,0
GBR,2018,1.0978929302805907,0
GBR,2019,1.1325621142827849,0
GBR,2020,1.5734279307484877,1
GBR,2021,1.3338628962962182,0
GBR,2022,1.289239766248578,0
GBR,2023,1.163331637897048,0
GBR,2024,1.1535336838177652,0
GRC,1990,1.1135940678512275,0
GRC,1991,1.0927656176203955,0
GRC,1992,1.1321253497550061,0
GRC,1993,1.1316870795816478,0
GRC,1994,1.0768039073318068,0
GRC,1995,1.0887862650170672,0
GRC,1996,1.0810397394425382,0
GRC,1997,1.0517913710262166,0
GRC,1998,1.135575184518676,0
GRC,1999,1.1551115066564865,0
GRC,2000,1.2105693870835545,0
GRC,2001,4.051460377906422,1
GRC,2002,1.1620820281170152,0
GRC,2003,1.236143845062379,0
GRC,2004,1.1488439430328719,0
GRC,2005,1.2287132111568948,0
GRC,2006,1.1692223431148825,0
GRC,2007,1.2441041959522732,0
GRC,2008,1.2580504138443969,0
GRC,2009,1.3424397170668851,0
GRC,2010,1.436825394943598,0
GRC,2011,1.5748746983338764,1
GRC,2012,1.2345365556628907,0
GRC,2013,1.1489122987965066,0
