economy,year,lof_score,predicted_anomaly,crisis_label
GBR,2014,1.017949128567867,0,0
GBR,2015,1.0299777302553224,0,0
GBR,2016,1.2814388839741229,1,1
GBR,2017,0.9958685834724843,0,0
GBR,2018,1.0513936443753535,0,0
GBR,2019,1.0442947956867215,0,0
GBR,2020,1.1486751585116524,0,1
GBR,2021,1.23470632536967,1,0
GBR,2022,1.1250810146499595,0,1
GBR,2023,1.0524247160504112,0,1
GBR,2024,1.035022393057302,0,0
GRC,1990,1.182616208222092,0,1
GRC,1991,1.080860547370502,0,1
GRC,1992,1.078755939308378,0,0
GRC,1993,1.158994123361612,0,0
GRC,1994,1.0992312562955915,0,0
GRC,1995,1.125502203570269,0,0
GRC,1996,1.1448226164830502,0,0
GRC,1997,1.0195168915104031,0,0
GRC,1998,1.030836059087481,0,0
GRC,1999,1.0970346368142216,0,0
GRC,2000,1.1059862362057356,0,0
GRC,2001,1.1068541817984436,0,0
GRC,2002,1.06718952266928,0,0
GRC,2003,1.189053674868556,0,0
GRC,2004,1.1540059514447418,0,0
GRC,2005,1.2143710894292032,1,0
GRC,2006,1.2493756873233424,1,0
GRC,2007,1.2293592378671843,1,1
GRC,2008,1.1083578773112197,0,1
GRC,2009,1.3518633659416126,1,1
GRC,2010,1.2999303759441507,1,1
GRC,2011,1.3366151792134509,1,1
GRC,2012,1.4395142454332923,1,1
GRC,2013,1.207445529750086,1,1
GRC,2014,1.1249184686128533,0,1
GRC,2015,1.126976206372976,0,1
GRC,2016,1.1769398503599164,0,1
GRC,2017,1.292965961244408,1,0
GRC,2018,1.194329461229204,1,0
GRC,2019,1.2324508268009027,1,0
GRC,2020,1.2961576811903672,1,1
GRC,2021,1.577214659176276,1,0
GRC,2022,1.60041759996831,1,0
GRC,2023,1.3935409059260242,1,0
GRC,2024,1.2982849558261325,1,0
HUN,1990,1.0734712587439716,0,1
HUN,1991,1.0501175358571762,0,1
HUN,1992,1.0746162246821913,0,1
HUN,1993,1.4349951122702989,1,1
HUN,1994,1.1997210736291715,1,0
HUN,1995,1.293444308677238,1,0
HUN,1996,1.3366266926426307,1,0
HUN,1997,1.0798005760472829,0,0
HUN,1998,0.9984106747419446,0,0
HUN,1999,1.010035761780298,0,0
HUN,2000,1.0069965245619916,0,0
HUN,2001,1.0262362667902623,0,0
HUN,2002,1.0462087105027682,0,0
HUN,2003,1.065730696029786,0,0
HUN,2004,1.072765150718994,0,0
HUN,2005,1.3040174886263518,1,0
HUN,2006,1.174297536855791,0,0
HUN,2007,1.2055375332785574,1,0
HUN,2008,1.1768733929228763,0,0
HUN,2009,1.2706471510373754,1,1
HUN,2010,1.1842632086379952,0,0
HUN,2011,1.2135878999025183,1,0
HUN,2012,1.2721290138152894,1,0
HUN,2013,1.1177873653693822,0,0
HUN,2014,1.2342456409606781,1,0
HUN,2015,1.241893067491056,1,0
HUN,2016,1.0362670043633662,0,0
HUN,2017,1.2719929580562133,1,0
HUN,2018,1.2177840660582708,1,0
HUN,2019,1.1010163436205231,0,0
HUN,2020,1.3348899203440285,1,1
HUN,2021,1.1764191232048478,0,0
HUN,2022,1.558611113535925,1,0
HUN,2023,1.1710743526273304,0,0
HUN,2024,1.1268659974722184,0,0
IDN,1990,1.0526275641707366,0,0
IDN,1991,1.048891768976652,0,0
IDN,1992,1.0386071492831614,0,0
IDN,1993,1.024783203839466,0,0
IDN,1994,1.0092941923946337,0,0
IDN,1995,1.0157776122762656,0,0
IDN,1996,1.0162407753392055,0,0
IDN,1997,1.063803847657336,0,0
IDN,1998,1.9388051399939443,1,1
IDN,1999,1.3261806981719177,1,0
IDN,2000,1.0328133749016486,0,0
IDN,2001,1.0191871211197654,0,0
IDN,2002,1.038447920080905,0,0
IDN,2003,1.0209912136388533,0,0
IDN,2004,1.0227737529557246,0,0
